Fecha,Hora,La Grama-Breña Alta PRB (mb),Flag,La Grama-Breña Alta SO2 (µg/m³),Flag
07-03-2019,23:00,995,V,9,V
07-03-2019,24:00,995,V,9,V
08-03-2019,01:00,995,V,6,V
08-03-2019,02:00,995,V,5,V
08-03-2019,03:00,994,V,5,V
08-03-2019,04:00,994,V,4,V
08-03-2019,05:00,993,V,5,V
08-03-2019,06:00,993,V,8,V
08-03-2019,07:00,993,V,6,V
08-03-2019,08:00,993,V,8,V
08-03-2019,09:00,993,V,8,V
08-03-2019,10:00,993,V,6,V
08-03-2019,11:00,994,V,4,V
08-03-2019,12:00,994,V,4,V
08-03-2019,13:00,995,V,2,V
08-03-2019,14:00,994,V,3,V
08-03-2019,15:00,994,V,2,V
08-03-2019,16:00,993,V,2,V
08-03-2019,17:00,993,V,4,V
08-03-2019,18:00,994,V,1,V
08-03-2019,19:00,994,V,1,V
08-03-2019,20:00,995,V,1,V
08-03-2019,21:00,995,V,2,V
08-03-2019,22:00,996,V,3,V
08-03-2019,23:00,996,V,3,V
08-03-2019,24:00,996,V,2,V
09-03-2019,01:00,996,V,4,V
09-03-2019,02:00,996,V,5,V
09-03-2019,03:00,995,V,4,V
09-03-2019,04:00,995,V,4,V
09-03-2019,05:00,995,V,6,V
09-03-2019,06:00,995,V,5,V
09-03-2019,07:00,995,V,5,V
09-03-2019,08:00,995,V,4,V
09-03-2019,09:00,996,V,4,V
09-03-2019,10:00,996,V,5,V
09-03-2019,11:00,996,V,5,V
09-03-2019,12:00,996,V,6,V
09-03-2019,13:00,996,V,6,V
09-03-2019,14:00,996,V,6,V
09-03-2019,15:00,995,V,5,V
09-03-2019,16:00,995,V,5,V
09-03-2019,17:00,994,V,5,V
09-03-2019,18:00,994,V,5,V
09-03-2019,19:00,994,V,5,V
09-03-2019,20:00,995,V,4,V
09-03-2019,21:00,995,V,4,V
09-03-2019,22:00,996,V,4,V
09-03-2019,23:00,996,V,4,V
09-03-2019,24:00,996,V,4,V
10-03-2019,01:00,996,V,2,V
10-03-2019,02:00,995,V,1,V
10-03-2019,03:00,995,V,1,V
10-03-2019,04:00,995,V,2,V
10-03-2019,05:00,995,V,1,V
10-03-2019,06:00,995,V,2,V
10-03-2019,07:00,995,V,2,V
10-03-2019,08:00,995,V,2,V
10-03-2019,09:00,996,V,2,V
10-03-2019,10:00,996,V,3,V
10-03-2019,11:00,997,V,4,V
10-03-2019,12:00,997,V,4,V
10-03-2019,13:00,996,V,4,V
10-03-2019,14:00,996,V,3,V
10-03-2019,15:00,996,V,6,V
10-03-2019,16:00,995,V,3,V
10-03-2019,17:00,995,V,3,V
10-03-2019,18:00,995,V,3,V
10-03-2019,19:00,996,V,3,V
10-03-2019,20:00,996,V,2,V
10-03-2019,21:00,996,V,5,V
10-03-2019,22:00,997,V,9,V
10-03-2019,23:00,997,V,4,V
10-03-2019,24:00,997,V,3,V
11-03-2019,01:00,997,V,3,V
11-03-2019,02:00,997,V,2,V
11-03-2019,03:00,996,V,2,V
11-03-2019,04:00,996,V,2,V
11-03-2019,05:00,995,V,3,V
11-03-2019,06:00,995,V,3,V
11-03-2019,07:00,996,V,6,V
11-03-2019,08:00,996,V,14,V
11-03-2019,09:00,997,V,56,V
11-03-2019,10:00,997,V,21,V
11-03-2019,11:00,998,V,14,V
11-03-2019,12:00,998,V,11,V
11-03-2019,13:00,997,V,35,V
11-03-2019,14:00,997,V,39,V
11-03-2019,15:00,996,V,27,V
11-03-2019,16:00,996,V,34,V
11-03-2019,17:00,996,V,27,V
11-03-2019,18:00,996,V,20,V
11-03-2019,19:00,996,V,4,V
11-03-2019,20:00,996,V,2,V
11-03-2019,21:00,997,V,3,V
11-03-2019,22:00,997,V,3,V
11-03-2019,23:00,998,V,2,V
11-03-2019,24:00,998,V,3,V
12-03-2019,01:00,997,V,3,V
12-03-2019,02:00,997,V,3,V
12-03-2019,03:00,997,V,3,V
12-03-2019,04:00,996,V,3,V
12-03-2019,05:00,996,V,3,V
12-03-2019,06:00,996,V,3,V
12-03-2019,07:00,996,V,3,V
12-03-2019,08:00,996,V,3,V
12-03-2019,09:00,997,V,6,V
12-03-2019,10:00,,N,,N
12-03-2019,11:00,,N,,N
12-03-2019,12:00,998,V,4,V
12-03-2019,13:00,998,V,3,V
12-03-2019,14:00,997,V,4,V
12-03-2019,15:00,997,V,4,V
12-03-2019,16:00,996,V,4,V
12-03-2019,17:00,996,V,3,V
12-03-2019,18:00,996,V,2,V
12-03-2019,19:00,996,V,3,V
12-03-2019,20:00,997,V,5,V
12-03-2019,21:00,997,V,5,V
12-03-2019,22:00,998,V,7,V
12-03-2019,23:00,998,V,8,V
12-03-2019,24:00,998,V,6,V
13-03-2019,01:00,998,V,4,V
13-03-2019,02:00,997,V,5,V
13-03-2019,03:00,997,V,4,V
13-03-2019,04:00,996,V,4,V
13-03-2019,05:00,996,V,3,V
13-03-2019,06:00,996,V,3,V
13-03-2019,07:00,996,V,3,V
13-03-2019,08:00,996,V,4,V
13-03-2019,09:00,997,V,4,V
13-03-2019,10:00,997,V,5,V
13-03-2019,11:00,997,V,8,V
13-03-2019,12:00,997,V,8,V
13-03-2019,13:00,996,V,7,V
13-03-2019,14:00,996,V,6,V
13-03-2019,15:00,995,V,7,V
13-03-2019,16:00,994,V,5,V
13-03-2019,17:00,994,V,4,V
13-03-2019,18:00,994,V,3,V
13-03-2019,19:00,995,V,4,V
13-03-2019,20:00,995,V,3,V
13-03-2019,21:00,995,V,3,V
13-03-2019,22:00,995,V,4,V
13-03-2019,23:00,995,V,5,V
13-03-2019,24:00,995,V,4,V
14-03-2019,01:00,995,V,6,V
14-03-2019,02:00,994,V,6,V
