Fecha,Hora,La Grama-Breña Alta PRB (mb),Flag,La Grama-Breña Alta SO2 (µg/m³),Flag
31-03-2019,13:00,,N,,N
31-03-2019,14:00,,N,,N
31-03-2019,15:00,,N,,N
31-03-2019,16:00,,N,,N
31-03-2019,17:00,,N,,N
31-03-2019,18:00,,N,,N
31-03-2019,19:00,,N,,N
31-03-2019,20:00,,N,,N
31-03-2019,21:00,,N,,N
31-03-2019,22:00,,N,,N
31-03-2019,23:00,,N,,N
31-03-2019,24:00,,N,,N
31-03-2019,01:00,,N,,N
01-04-2019,01:00,,N,,N
01-04-2019,02:00,,N,,N
01-04-2019,03:00,,N,,N
01-04-2019,04:00,,N,,N
01-04-2019,05:00,,N,,N
01-04-2019,06:00,,N,,N
01-04-2019,07:00,,N,,N
01-04-2019,08:00,,N,,N
01-04-2019,09:00,,N,,N
01-04-2019,10:00,,N,,N
01-04-2019,11:00,,N,,N
01-04-2019,12:00,,N,,N
01-04-2019,13:00,,N,,N
01-04-2019,14:00,,N,,N
01-04-2019,15:00,,N,,N
01-04-2019,16:00,,N,,N
01-04-2019,17:00,,N,,N
01-04-2019,18:00,,N,,N
01-04-2019,19:00,,N,,N
01-04-2019,20:00,,N,,N
01-04-2019,21:00,,N,,N
01-04-2019,22:00,,N,,N
01-04-2019,23:00,,N,,N
01-04-2019,24:00,,N,,N
